DayOfWeek,Month,Year,store_id,product_id,customer_id,status,campaign_id,payment_method,sale_amount_sum,sale_amount_mean,discount_percentage_mean,discount_percentage_max,discount_percentage_min,points_mean,transaction_ids
Friday,1.0,2022.0,401,2007,1162,Gold,3,Mobile Payment,583.39,583.39,1.08,1.08,1.08,6423.0,[857]
Friday,1.0,2022.0,401,2071,1159,Gold,1,Mobile Payment,1660.93,1660.93,23.07,23.07,23.07,4788.0,[1407]
Friday,1.0,2022.0,401,2074,1162,Gold,3,Gift Card,659.5,659.5,17.95,17.95,17.95,6423.0,[850]
Friday,1.0,2022.0,402,2077,1159,Gold,3,Gift Card,561.83,561.83,26.61,26.61,26.61,4788.0,[881]
Friday,1.0,2022.0,402,2093,1159,Gold,0,Mobile Payment,0.0,0.0,4.02,4.02,4.02,4788.0,[1289]
Friday,1.0,2022.0,403,2011,1162,Gold,3,Credit Card,1229.22,1229.22,4.57,4.57,4.57,6423.0,[756]
Friday,1.0,2022.0,403,2033,1159,Gold,1,Cash,752.62,752.62,29.44,29.44,29.44,4788.0,[1899]
Friday,1.0,2022.0,403,2085,1162,Gold,0,Cash,0.0,0.0,17.36,17.36,17.36,6423.0,[617]
Friday,1.0,2022.0,403,2090,1162,Gold,1,Credit Card,257.9,257.9,14.57,14.57,14.57,6423.0,[959]
Friday,1.0,2022.0,404,2026,1162,Gold,2,Mobile Payment,169.25,169.25,1.33,1.33,1.33,6423.0,[1778]
Friday,1.0,2022.0,404,2065,1159,Gold,1,Mobile Payment,1693.22,1693.22,6.74,6.74,6.74,4788.0,[1771]
Friday,1.0,2022.0,404,2088,1159,Gold,0,Gift Card,0.0,0.0,13.41,13.41,13.41,4788.0,[105]
Friday,2.0,2023.0,401,2006,1145,Silver,0,Cash,0.0,0.0,4.15,4.15,4.15,3787.0,[1891]
Friday,2.0,2023.0,401,2015,1145,Silver,3,Mobile Payment,2024.91,2024.91,4.62,4.62,4.62,3787.0,[1827]
Friday,2.0,2023.0,401,2079,1145,Silver,0,Credit Card,1901.08,1901.08,5.2,5.2,5.2,3787.0,[54]
Friday,2.0,2023.0,402,2043,1145,Silver,1,Cash,1572.21,1572.21,28.72,28.72,28.72,3787.0,[1431]
Friday,2.0,2023.0,403,2023,1145,Silver,2,Gift Card,1503.26,1503.26,18.96,18.96,18.96,3787.0,[1215]
Friday,2.0,2023.0,403,2068,1145,Silver,2,Gift Card,656.19,656.19,9.29,9.29,9.29,3787.0,[1525]
Friday,2.0,2023.0,403,2086,1145,Silver,3,Mobile Payment,2682.3,2682.3,16.85,16.85,16.85,3787.0,[1442]
Friday,2.0,2023.0,404,2086,1145,Silver,3,Mobile Payment,2682.3,2682.3,7.5,7.5,7.5,3787.0,[1744]
Friday,2.0,2024.0,401,2034,1194,Bronze,1,Gift Card,245.11,245.11,22.86,22.86,22.86,852.0,[524]
Friday,2.0,2024.0,401,2047,1136,Bronze,2,Gift Card,267.98,267.98,3.18,3.18,3.18,593.0,[1798]
Friday,2.0,2024.0,401,2057,1136,Bronze,0,Cash,1310.94,1310.94,26.25,26.25,26.25,593.0,[1537]
Friday,2.0,2024.0,401,2080,1194,Bronze,0,Cash,1664.52,1664.52,28.34,28.34,28.34,852.0,[1207]
Friday,2.0,2024.0,401,2094,1136,Bronze,1,Gift Card,1776.06,1776.06,1.78,1.78,1.78,593.0,[404]
Friday,2.0,2024.0,401,2094,1136,Bronze,1,Mobile Payment,0.0,0.0,21.18,21.18,21.18,593.0,[733]
Friday,2.0,2024.0,402,2002,1136,Bronze,0,Gift Card,1732.0,1732.0,12.11,12.11,12.11,593.0,[1184]
Friday,2.0,2024.0,402,2050,1136,Bronze,3,Cash,933.9,933.9,16.56,16.56,16.56,593.0,[618]
Friday,2.0,2024.0,402,2069,1194,Bronze,3,Cash,929.56,929.56,19.08,19.08,19.08,852.0,[1565]
Friday,2.0,2024.0,402,2084,1194,Bronze,0,Cash,563.7,563.7,23.78,23.78,23.78,852.0,[927]
Friday,2.0,2024.0,403,2028,1194,Bronze,0,Gift Card,637.94,637.94,27.73,27.73,27.73,852.0,[593]
Friday,2.0,2024.0,403,2030,1136,Bronze,3,Gift Card,509.91,509.91,18.74,18.74,18.74,593.0,[255]
Friday,2.0,2024.0,403,2074,1136,Bronze,1,Credit Card,593.55,593.55,4.66,4.66,4.66,593.0,[1683]
Friday,2.0,2024.0,403,2081,1136,Bronze,3,Cash,2238.66,2238.66,26.76,26.76,26.76,593.0,[1492]
Friday,2.0,2024.0,403,2098,1194,Bronze,1,Credit Card,2451.22,2451.22,8.72,8.72,8.72,852.0,[1529]
Friday,2.0,2024.0,404,2059,1136,Bronze,3,Credit Card,2560.25,2560.25,6.67,6.67,6.67,593.0,[1427]
Friday,2.0,2024.0,404,2086,1194,Bronze,3,Credit Card,0.0,0.0,23.62,23.62,23.62,852.0,[611]
Friday,3.0,2022.0,401,2022,1114,Gold,1,Mobile Payment,3020.31,3020.31,13.24,13.24,13.24,7444.0,[961]
Friday,3.0,2022.0,401,2040,1114,Gold,3,Gift Card,34.54,34.54,18.86,18.86,18.86,7444.0,[919]
Friday,3.0,2022.0,401,2052,1118,Gold,2,Cash,0.0,0.0,5.59,5.59,5.59,6442.0,[1383]
Friday,3.0,2022.0,401,2074,1118,Gold,3,Cash,659.5,659.5,21.49,21.49,21.49,6442.0,[229]
