TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercentage,PaymentMethod
2,5/4/2025,Unknown,2048,403,1.0,321.87,13.79,Crdit Card
4,5/4/2025,1071.0,2096,404,2.0,1613.23,1.08,Mobile Payment
5,5/4/2025,1020.0,2060,401,0.0,731.26,29.37,Credit Card
6,5/4/2025,1089.0,2028,401,0.0,1275.88,29.92,Credit Card
7,5/4/2025,1193.0,2003,402,1.0,346.66,7.41,Credit Card
9,5/4/2025,1032.0,2060,401,1.0,735.08,16.07,Cash
10,5/4/2025,1119.0,2089,403,2.0,661.63,11.31,Gift Card
11,5/4/2025,1042.0,2077,401,Unknown ID,505.65,5.04,Cash
12,5/4/2025,1079.0,2013,401,2.0,0.0,20.62,Cash
14,5/4/2025,1183.0,2025,401,1.0,503.32,13.39,Cash
15,5/4/2025,1026.0,2089,403,0.0,413.52,26.67,Credit Card
16,5/4/2025,1144.0,2005,403,3.0,1715.12,5.2,Cash
17,5/4/2025,1169.0,2047,401,2.0,535.97,0.7,Credit Card
19,5/4/2025,1110.0,2046,404,1.0,30.09,9.56,Credit Card
20,5/4/2025,1111.0,2022,403,3.0,671.18,11.71,Mobile Payment
21,5/4/2025,1119.0,2055,403,2.0,731.26,22.68,Mobile Payment
22,5/4/2025,1062.0,2011,403,3.0,1229.22,26.66,Credit Card
23,5/4/2025,1062.0,2096,404,3.0,672.18,6.7,Mobile
24,5/4/2025,1086.0,2003,404,2.0,924.43,17.77,Gift Card
25,5/4/2025,1046.0,2062,402,2.0,1981.95,27.72,Gift Card
26,5/4/2025,1066.0,2043,403,2.0,698.76,17.77,Cash
27,5/4/2025,1142.0,2001,402,0.0,1237.05,8.85,Credit Card
28,5/4/2025,1061.0,2092,404,3.0,482.21,16.18,Cash
31,2023-13-01,1004.0,2011,403,1.0,737.53,25.21,Gift Card
32,5/4/2025,1103.0,2088,402,2.0,0.0,21.59,Mobile Payment
33,5/4/2025,1169.0,2074,403,3.0,0.0,0.09,Cash
34,5/4/2025,1141.0,2067,403,3.0,872.85,22.12,Cash
35,5/4/2025,1190.0,2070,403,2.0,54.69,11.02,Mobile Payment
36,5/4/2025,1179.0,2058,403,2.0,1066.8,3.58,Mobile Payment
37,5/4/2025,1064.0,2029,401,1.0,12.16,14.06,Gift Card
38,5/4/2025,1080.0,2015,402,1.0,3037.36,1.02,Mobile Payment
39,5/4/2025,1055.0,2094,404,2.0,1578.72,3.78,Mobile Payment
40,5/4/2025,1185.0,2075,403,0.0,0.0,9.92,Credit Card
41,5/4/2025,9999.0,2037,402,2.0,288.11,10.93,Cash
42,5/4/2025,1045.0,2038,401,1.0,1667.72,5.96,Gift Card
43,5/4/2025,1070.0,2005,401,2.0,686.05,22.43,Gift Card
44,5/4/2025,1178.0,2016,404,0.0,0.0,29.9,Credit Card
45,5/4/2025,1003.0,2073,403,3.0,1498.29,6.67,Cash
46,5/4/2025,1122.0,2056,403,1.0,944.5,28.56,Gift Card
47,5/4/2025,1013.0,2032,404,0.0,2836.8,5.02,Cash
48,5/4/2025,1016.0,2051,404,0.0,117.32,4.67,Cash
49,5/4/2025,1147.0,2080,401,1.0,0.0,1.68,Mobile Payment
50,5/4/2025,1038.0,2072,403,0.0,840.6,26.71,Gift Card
51,5/4/2025,1063.0,2015,404,1.0,1214.95,9.99,Gift Card
52,5/4/2025,1198.0,2066,404,3.0,516.06,12.34,Cash
