TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercentage,PaymentMethod
1,5/4/2025,1034,2059,402,0,2048.2,900.13,
2,5/4/2025,,2048,403,1,321.87,13.79,Crdit Card
2,5/4/2025,1066,2041,403,3,3216.84,7.46,Credit Card
4,5/4/2025,1071,2096,404,2,1613.23,1.08,Mobile Payment
5,5/4/2025,1020,2060,401,0,,29.37,Credit Card
6,5/4/2025,1089,2028,401,0,1275.88,29.92,Credit Card
7,5/4/2025,1193,2003,402,1,346.66,7.41,Credit Card
8,5/4/2025,1005,2079,402,1,855.49,-16.94,Mobile Payment
9,5/4/2025,1032,2060,401,1,735.08,16.07,Cash
10,5/4/2025,1119,2089,403,2,661.63,11.31,Gift Card
11,5/4/2025,1042,2077,401,,505.65,5.04,Cash
12,5/4/2025,1079,2013,401,2,0,20.62,Cash
13,5/4/2025,1147,2086,404,3,4470.5,,Cash
14,5/4/2025,1183,2025,401,1,503.32,13.39,Cash
15,5/4/2025,1026,2089,403,0,413.52,26.67,Credit Card
16,5/4/2025,1144,2005,403,3,1715.12,5.2,Cash
17,5/4/2025,1169,2047,401,2,535.97,0.7,Credit Card
18,5/4/2025,1003,2053,404,0,3660.9,19.81,Cash
19,5/4/2025,1110,2046,404,1,30.09,9.56,Credit Card
20,5/4/2025,1111,2022,403,3,671.181,11.71,Mobile Payment
21,5/4/2025,1119,2055,403,2,?,22.68,mobile payment
22,5/4/2025,1062,2011,403,3,1229.22,26.66,Credit Card
23,5/4/2025,1062,2096,404,3,672.18,6.7,Mobile
24,5/4/2025,1086,2003,404,2,924.43,17.77,Gift Card
25,5/4/2025,1046,2062,402,2,1981.95,27.72,Gift Card
26,5/4/2025,1066,2043,403,2,698.76,17.77,Cash
27,5/4/2025,1142,2001,402,0,1237.05,8.85,Credit Card
28,5/4/2025,1061,2092,404,3,482.21,16.18,Cash
29,5/4/2025,1142,2097,402,3,4210.5,1.86,Credit Card
30,5/4/2025,1165,2091,404,3,4528.95,3.29,Cash
31,2023-13-01,1004,2011,403,1,737.53,25.21,Gift Card
32,5/4/2025,1103,2088,402,2,0,21.59,Mobile Payment
33,5/4/2025,1169,2074,403,3,0,0.09,Cash
34,5/4/2025,1141,2067,403,3,872.85,22.12,Cash
35,5/4/2025,1190,2070,403,2,54.69,11.02,Mobile Payment
36,5/4/2025,1179,2058,403,2,1066.8,3.58,Mobile Payment
37,5/4/2025,1064,2029,401,1,12.16,14.06,Gift Card
38,5/4/2025,1080,2015,402,1,3037.36,1.02,Mobile Payment
39,5/4/2025,1055,2094,404,2,1578.72,3.78,Mobile Payment
40,5/4/2025,1185,2075,403,0,0,9.92,Credit Card
41,5/4/2025,9999,2037,402,2,288.11,10.93,Cash
42,5/4/2025,1045,2038,401,1,1667.72,5.96,Gift Card
43,5/4/2025,1070,2005,401,2,686.05,22.43,Gift Card
44,5/4/2025,1178,2016,404,0,0,29.9,Credit Card
45,5/4/2025,1003,2073,403,3,1498.29,6.67,Cash
46,5/4/2025,1122,2056,403,1,944.5,28.56,Gift Card
47,5/4/2025,1013,2032,404,0,2836.8,5.02,Cash
48,5/4/2025,1016,2051,404,0,117.32,4.67,Cash
